"...1","...2","Name","ID","Website","Email Address","Non Primary E-mails","Office Phone","Alternate Phone","Fax","Billing Street","Billing City","Billing State","Billing Postal Code","Billing Country","Shipping Street","Shipping City","Shipping State","Shipping Postal Code","Shipping Country","Description","Type","Industry","Annual Revenue","Employees","SIC Code","Ticker Symbol","Parent Account ID","Ownership","Campaign ID","Rating","Assigned to","Assigned User","Date Created","Date Modified","Modified By","Created By","Deleted","Geocode Status","Longitude","Address","Latitude"
14,14,"Venenatis A Limited","001i0000008rBlhAAE",NA,NA,NA,NA,NA,NA,"401 Lakeshore Dr, Canandaigua, NY 14424","Canandaigua","New York",NA,NA,"401 Lakeshore Dr, Canandaigua, NY 14424","Canandaigua","New York",NA,NA,NA,"Gold","Entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-05-10,NA,NA,NA,TRUE,NA,NA,NA,NA
15,15,"Venenatis A Limited","001i0000008rBlhAAE",NA,NA,NA,NA,NA,NA,"401 Lakeshore Dr, Canandaigua, NY 14424","Canandaigua","New York",NA,NA,"401 Lakeshore Dr, Canandaigua, NY 14424","Canandaigua","New York",NA,NA,NA,"Gold","Entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-06-07,NA,NA,NA,TRUE,NA,NA,NA,NA
16,16,"Venenatis A Limited","001i0000008rBlhAAE",NA,NA,NA,NA,NA,NA,"401 Lakeshore Dr, Canandaigua, NY 14424","Canandaigua","New York",NA,NA,"401 Lakeshore Dr, Canandaigua, NY 14424","Canandaigua","New York",NA,NA,NA,"Gold","Entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-05-09,NA,NA,NA,TRUE,NA,NA,NA,NA
17,17,"Sample, inc","001i0000008rBlLAAU",NA,NA,NA,NA,NA,NA,"801 W Main St, Crisfield, MD 21817-1013","Crisfield","Maryland",NA,NA,"801 W Main St, Crisfield, MD 21817-1013","Crisfield","Maryland",NA,NA,NA,"Gold","Storage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-05-05,NA,NA,NA,TRUE,NA,NA,NA,NA
18,18,"Nisl Arcu Consulting","001i0000008rBmiAAE",NA,NA,NA,NA,NA,NA,"475 N. Lake Blvd, Tahoe City, CA 96145","Tahoe City","California",NA,NA,"475 N. Lake Blvd, Tahoe City, CA 96145","Tahoe City","California",NA,NA,NA,"Cloud","Healthcare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-02-01,NA,NA,NA,TRUE,NA,NA,NA,NA
19,19,"Nisl Arcu Consulting","001i0000008rBmiAAE",NA,NA,NA,NA,NA,NA,"475 N. Lake Blvd, Tahoe City, CA 96145","Tahoe City","California",NA,NA,"475 N. Lake Blvd, Tahoe City, CA 96145","Tahoe City","California",NA,NA,NA,"Cloud","Healthcare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-05-29,NA,NA,NA,TRUE,NA,NA,NA,NA
20,20,"Nisl Arcu Consulting","001i0000008rBmiAAE",NA,NA,NA,NA,NA,NA,"475 N. Lake Blvd, Tahoe City, CA 96145","Tahoe City","California",NA,NA,"475 N. Lake Blvd, Tahoe City, CA 96145","Tahoe City","California",NA,NA,NA,"Cloud","Healthcare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-05-25,NA,NA,NA,TRUE,NA,NA,NA,NA
21,21,"Tellus LLP","001i0000008rBMxAAM",NA,NA,NA,NA,NA,NA,"2415 NH Route 16, West Ossipee, NH 03890","West Ossipee","New Hampshire",NA,NA,"2415 NH Route 16, West Ossipee, NH 03890","West Ossipee","New Hampshire",NA,NA,NA,"Platinum","Healthcare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-03-30,NA,NA,NA,TRUE,NA,NA,NA,NA
22,22,"Fringilla Porttitor Vulputate Company","001i0000008rBnxAAE",NA,NA,NA,NA,NA,NA,"2828 NE Gilsan St, Portland, OR 97232","Portland","Oregon",NA,NA,"2828 NE Gilsan St, Portland, OR 97232","Portland","Oregon",NA,NA,NA,"Gold","Entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-06-07,NA,NA,NA,TRUE,NA,NA,NA,NA
23,23,"Fringilla Porttitor Vulputate Company","001i0000008rBnxAAE",NA,NA,NA,NA,NA,NA,"2828 NE Gilsan St, Portland, OR 97232","Portland","Oregon",NA,NA,"2828 NE Gilsan St, Portland, OR 97232","Portland","Oregon",NA,NA,NA,"Gold","Entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-06-05,NA,NA,NA,TRUE,NA,NA,NA,NA
24,24,"Sagittis Semper Nam Institute","001i0000008rBp3AAE",NA,NA,NA,NA,NA,NA,"2312 Clifton Ave, Nashville, TN 37209","Nashville","Tennessee",NA,NA,"2312 Clifton Ave, Nashville, TN 37209","Nashville","Tennessee",NA,NA,NA,"Gold","Construction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-06-14,NA,NA,NA,TRUE,NA,NA,NA,NA
25,25,"Sagittis Semper Nam Institute","001i0000008rBp3AAE",NA,NA,NA,NA,NA,NA,"2312 Clifton Ave, Nashville, TN 37209","Nashville","Tennessee",NA,NA,"2312 Clifton Ave, Nashville, TN 37209","Nashville","Tennessee",NA,NA,NA,"Gold","Construction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-06-13,NA,NA,NA,TRUE,NA,NA,NA,NA
26,26,"Curabitur Ut Consulting","001i0000008rBPHAA2",NA,NA,NA,NA,NA,NA,"110 Canal St, Boston, MA 02114-1805","Boston","Massachusetts",NA,NA,"110 Canal St, Boston, MA 02114-1805","Boston","Massachusetts",NA,NA,NA,"Gold","Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-06-30,NA,NA,NA,TRUE,NA,NA,NA,NA
27,27,"Curabitur Ut Consulting","001i0000008rBPHAA2",NA,NA,NA,NA,NA,NA,"110 Canal St, Boston, MA 02114-1805","Boston","Massachusetts",NA,NA,"110 Canal St, Boston, MA 02114-1805","Boston","Massachusetts",NA,NA,NA,"Gold","Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-06-30,NA,NA,NA,TRUE,NA,NA,NA,NA
28,28,"Interdum Consulting","001i0000008rBqxAAE",NA,NA,NA,NA,NA,NA,"100 Washington St, Haverhill, MA 01832-5500","Haverhill","Massachusetts",NA,NA,"100 Washington St, Haverhill, MA 01832-5500","Haverhill","Massachusetts",NA,NA,NA,"Gold","Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-06-27,NA,NA,NA,TRUE,NA,NA,NA,NA
29,29,"Interdum Consulting","001i0000008rBqxAAE",NA,NA,NA,NA,NA,NA,"100 Washington St, Haverhill, MA 01832-5500","Haverhill","Massachusetts",NA,NA,"100 Washington St, Haverhill, MA 01832-5500","Haverhill","Massachusetts",NA,NA,NA,"Gold","Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-06-26,NA,NA,NA,TRUE,NA,NA,NA,NA
30,30,"Quis Lectus Associates","001i0000008rBrIAAU",NA,NA,NA,NA,NA,NA,"237 Maxwell Ave, Greenwood, SC 29646-2616","Greenwood","South Carolina",NA,NA,"237 Maxwell Ave, Greenwood, SC 29646-2616","Greenwood","South Carolina",NA,NA,NA,"Gold","Financial Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-06-28,NA,NA,NA,TRUE,NA,NA,NA,NA
31,31,"Etiam Corporation","001i0000008rBS9AAM",NA,NA,NA,NA,NA,NA,"967 Main St, Willimantic, CT 06226-2330","Willimantic","Connecticut",NA,NA,"967 Main St, Willimantic, CT 06226-2330","Willimantic","Connecticut",NA,NA,NA,"Gold","Healthcare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-09-06,NA,NA,NA,TRUE,NA,NA,NA,NA
32,32,"Tempus Eu Ligula Corporation","001i0000008rBTjAAM",NA,NA,NA,NA,NA,NA,"47 S Water St # 53, Peekskill, NY 10566-2035","Peekskill","New York",NA,NA,"47 S Water St # 53, Peekskill, NY 10566-2035","Peekskill","New York",NA,NA,NA,"Gold","Financial Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-09-27,NA,NA,NA,TRUE,NA,NA,NA,NA
33,33,"Neque LLP","001i0000008rBtMAAU",NA,NA,NA,NA,NA,NA,"1000 Marietta St NW Ste 204, Atlanta, GA 30318-0683","Atlanta","Georgia",NA,NA,"1000 Marietta St NW Ste 204, Atlanta, GA 30318-0683","Atlanta","Georgia",NA,NA,NA,"Gold","Computer Hardware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-07-10,NA,NA,NA,TRUE,NA,NA,NA,NA
34,34,"Sem Incorporated","001i0000008rBUSAA2",NA,NA,NA,NA,NA,NA,"105 W Emma St @ VFW Post 1771, Lafayette, CO 80026","Lafayette","Colorado",NA,NA,"105 W Emma St @ VFW Post 1771, Lafayette, CO 80026","Lafayette","Colorado",NA,NA,NA,"Gold","Financial Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-01-28,NA,NA,NA,TRUE,NA,NA,NA,NA
35,35,"Sem Incorporated","001i0000008rBUSAA2",NA,NA,NA,NA,NA,NA,"105 W Emma St @ VFW Post 1771, Lafayette, CO 80026","Lafayette","Colorado",NA,NA,"105 W Emma St @ VFW Post 1771, Lafayette, CO 80026","Lafayette","Colorado",NA,NA,NA,"Gold","Financial Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-10-10,NA,NA,NA,TRUE,NA,NA,NA,NA
36,36,"Enim Industries","001i0000008rBUXAA2",NA,NA,NA,NA,NA,NA,"417 River St, Troy, NY 12180-2822","Troy","New York",NA,NA,"417 River St, Troy, NY 12180-2822","Troy","New York",NA,NA,NA,"Gold","Manufacturing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-10-11,NA,NA,NA,TRUE,NA,NA,NA,NA
37,37,"Malesuada Limited","001i0000008rC0tAAE",NA,NA,NA,NA,NA,NA,"214 West Davis Rd, Magnolia, NJ 08049-1215","Magnolia","New Jersey",NA,NA,"214 West Davis Rd, Magnolia, NJ 08049-1215","Magnolia","New Jersey",NA,NA,NA,"Gold","Automotives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-09-25,NA,NA,NA,TRUE,NA,NA,NA,NA
38,38,"Malesuada Limited","001i0000008rC0tAAE",NA,NA,NA,NA,NA,NA,"214 West Davis Rd, Magnolia, NJ 08049-1215","Magnolia","New Jersey",NA,NA,"214 West Davis Rd, Magnolia, NJ 08049-1215","Magnolia","New Jersey",NA,NA,NA,"Gold","Automotives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-09-26,NA,NA,NA,TRUE,NA,NA,NA,NA
39,39,"Ipsum Cursus Vestibulum Company","001i0000008rC3LAAU",NA,NA,NA,NA,NA,NA,"161 River Ave, Patchogue, NY 11772-3304","Patchogue","New York",NA,NA,"161 River Ave, Patchogue, NY 11772-3304","Patchogue","New York",NA,NA,NA,"Gold","Computer Hardware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-10-09,NA,NA,NA,TRUE,NA,NA,NA,NA
40,40,"Ipsum Cursus Vestibulum Company","001i0000008rC3LAAU",NA,NA,NA,NA,NA,NA,"161 River Ave, Patchogue, NY 11772-3304","Patchogue","New York",NA,NA,"161 River Ave, Patchogue, NY 11772-3304","Patchogue","New York",NA,NA,NA,"Gold","Computer Hardware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-10-10,NA,NA,NA,TRUE,NA,NA,NA,NA
41,41,"Cras Convallis Convallis LLP","001i0000008rC3MAAU",NA,NA,NA,NA,NA,NA,"6 Dexter Plz, Pearl River, NY 10965-2321","Pearl River","New York",NA,NA,"6 Dexter Plz, Pearl River, NY 10965-2321","Pearl River","New York",NA,NA,NA,"Gold","Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-10-09,NA,NA,NA,TRUE,NA,NA,NA,NA
42,42,"Cras Convallis Convallis LLP","001i0000008rC3MAAU",NA,NA,NA,NA,NA,NA,"6 Dexter Plz, Pearl River, NY 10965-2321","Pearl River","New York",NA,NA,"6 Dexter Plz, Pearl River, NY 10965-2321","Pearl River","New York",NA,NA,NA,"Gold","Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-10-10,NA,NA,NA,TRUE,NA,NA,NA,NA
43,43,"Sagittis Corp.","001i0000008rC3RAAU",NA,NA,NA,NA,NA,NA,"19 Quackenbush Sq, Albany, NY 12207-2311","Albany","New York",NA,NA,"19 Quackenbush Sq, Albany, NY 12207-2311","Albany","New York",NA,NA,NA,"Gold","Oil & Gas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-10-03,NA,NA,NA,TRUE,NA,NA,NA,NA
44,44,"Sagittis Corp.","001i0000008rC3RAAU",NA,NA,NA,NA,NA,NA,"19 Quackenbush Sq, Albany, NY 12207-2311","Albany","New York",NA,NA,"19 Quackenbush Sq, Albany, NY 12207-2311","Albany","New York",NA,NA,NA,"Gold","Oil & Gas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-10-11,NA,NA,NA,TRUE,NA,NA,NA,NA
45,45,"Sagittis Corp.","001i0000008rC3RAAU",NA,NA,NA,NA,NA,NA,"19 Quackenbush Sq, Albany, NY 12207-2311","Albany","New York",NA,NA,"19 Quackenbush Sq, Albany, NY 12207-2311","Albany","New York",NA,NA,NA,"Gold","Oil & Gas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-10-04,NA,NA,NA,TRUE,NA,NA,NA,NA
46,46,"Sagittis Corp.","001i0000008rC3RAAU",NA,NA,NA,NA,NA,NA,"19 Quackenbush Sq, Albany, NY 12207-2311","Albany","New York",NA,NA,"19 Quackenbush Sq, Albany, NY 12207-2311","Albany","New York",NA,NA,NA,"Gold","Oil & Gas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-10-12,NA,NA,NA,TRUE,NA,NA,NA,NA
47,47,"Globex Corporation","001i0000008rC5vAAE",NA,NA,NA,NA,NA,NA,"1 Kendall Sq Ste B1102, Cambridge, MA 02139-1592","Cambridge","Massachusetts",NA,NA,"1 Kendall Sq Ste B1102, Cambridge, MA 02139-1592","Cambridge","Massachusetts",NA,NA,NA,"Gold","Healthcare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-06-30,NA,NA,NA,TRUE,NA,NA,NA,NA
48,48,"Globex Corporation","001i0000008rC5vAAE",NA,NA,NA,NA,NA,NA,"1 Kendall Sq Ste B1102, Cambridge, MA 02139-1592","Cambridge","Massachusetts",NA,NA,"1 Kendall Sq Ste B1102, Cambridge, MA 02139-1592","Cambridge","Massachusetts",NA,NA,NA,"Gold","Healthcare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12-10,NA,NA,NA,TRUE,NA,NA,NA,NA
49,49,"Globex Corporation","001i0000008rC5vAAE",NA,NA,NA,NA,NA,NA,"1 Kendall Sq Ste B1102, Cambridge, MA 02139-1592","Cambridge","Massachusetts",NA,NA,"1 Kendall Sq Ste B1102, Cambridge, MA 02139-1592","Cambridge","Massachusetts",NA,NA,NA,"Gold","Healthcare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-04-29,NA,NA,NA,TRUE,NA,NA,NA,NA
50,50,"Globex Corporation","001i0000008rC5vAAE",NA,NA,NA,NA,NA,NA,"1 Kendall Sq Ste B1102, Cambridge, MA 02139-1592","Cambridge","Massachusetts",NA,NA,"1 Kendall Sq Ste B1102, Cambridge, MA 02139-1592","Cambridge","Massachusetts",NA,NA,NA,"Gold","Healthcare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-11-08,NA,NA,NA,TRUE,NA,NA,NA,NA
51,51,"At Egestas LLP","001i0000008rCa9AAE",NA,NA,NA,NA,NA,NA,"5509 Coastal Hwy, Ocean City, MD 21842-3144","Ocean City","Maryland",NA,NA,"5509 Coastal Hwy, Ocean City, MD 21842-3144","Ocean City","Maryland",NA,NA,NA,"Gold","Computer Hardware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-05-08,NA,NA,NA,TRUE,NA,NA,NA,NA
52,52,"At Egestas LLP","001i0000008rCa9AAE",NA,NA,NA,NA,NA,NA,"5509 Coastal Hwy, Ocean City, MD 21842-3144","Ocean City","Maryland",NA,NA,"5509 Coastal Hwy, Ocean City, MD 21842-3144","Ocean City","Maryland",NA,NA,NA,"Gold","Computer Hardware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-01,NA,NA,NA,TRUE,NA,NA,NA,NA
53,53,"Amet Consectetuer Ltd","001i0000008rCaWAAU",NA,NA,NA,NA,NA,NA,"3321 Dill Smith Dr Bowman Center, Fredericksburg, VA 22408-7319","Fredericksburg","Virginia",NA,NA,"3321 Dill Smith Dr Bowman Center, Fredericksburg, VA 22408-7319","Fredericksburg","Virginia",NA,NA,NA,"Gold","Financial Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-06-01,NA,NA,NA,TRUE,NA,NA,NA,NA
54,54,"Amet Consectetuer Ltd","001i0000008rCaWAAU",NA,NA,NA,NA,NA,NA,"3321 Dill Smith Dr Bowman Center, Fredericksburg, VA 22408-7319","Fredericksburg","Virginia",NA,NA,"3321 Dill Smith Dr Bowman Center, Fredericksburg, VA 22408-7319","Fredericksburg","Virginia",NA,NA,NA,"Gold","Financial Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-03,NA,NA,NA,TRUE,NA,NA,NA,NA
55,55,"Multimodous Ventures","001i0000008rCcWAAU",NA,NA,NA,NA,NA,NA,"7700 West Madison, Forest Park, IL 60130","Forest Park","Illinois",NA,NA,"7700 West Madison, Forest Park, IL 60130","Forest Park","Illinois",NA,NA,NA,"Gold","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-02-28,NA,NA,NA,TRUE,NA,NA,NA,NA
56,56,"Multimodous Ventures","001i0000008rCcWAAU",NA,NA,NA,NA,NA,NA,"7700 West Madison, Forest Park, IL 60130","Forest Park","Illinois",NA,NA,"7700 West Madison, Forest Park, IL 60130","Forest Park","Illinois",NA,NA,NA,"Gold","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-05-30,NA,NA,NA,TRUE,NA,NA,NA,NA
57,57,"Multimodous Ventures","001i0000008rCcWAAU",NA,NA,NA,NA,NA,NA,"7700 West Madison, Forest Park, IL 60130","Forest Park","Illinois",NA,NA,"7700 West Madison, Forest Park, IL 60130","Forest Park","Illinois",NA,NA,NA,"Gold","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-05-30,NA,NA,NA,TRUE,NA,NA,NA,NA
58,58,"Multimodous Ventures","001i0000008rCcWAAU",NA,NA,NA,NA,NA,NA,"7700 West Madison, Forest Park, IL 60130","Forest Park","Illinois",NA,NA,"7700 West Madison, Forest Park, IL 60130","Forest Park","Illinois",NA,NA,NA,"Gold","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-06-02,NA,NA,NA,TRUE,NA,NA,NA,NA
59,59,"Multimodous Ventures","001i0000008rCcWAAU",NA,NA,NA,NA,NA,NA,"7700 West Madison, Forest Park, IL 60130","Forest Park","Illinois",NA,NA,"7700 West Madison, Forest Park, IL 60130","Forest Park","Illinois",NA,NA,NA,"Gold","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-06-10,NA,NA,NA,TRUE,NA,NA,NA,NA
60,60,"Multimodous Ventures","001i0000008rCcWAAU",NA,NA,NA,NA,NA,NA,"7700 West Madison, Forest Park, IL 60130","Forest Park","Illinois",NA,NA,"7700 West Madison, Forest Park, IL 60130","Forest Park","Illinois",NA,NA,NA,"Gold","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-13,NA,NA,NA,TRUE,NA,NA,NA,NA
61,61,"Pellentesque Tincidunt Tempus Corporation","001i0000008rCCyAAM",NA,NA,NA,NA,NA,NA,"1035 S Main St, Centerville, OH 45458-3840","Centerville","Ohio",NA,NA,"1035 S Main St, Centerville, OH 45458-3840","Centerville","Ohio",NA,NA,NA,"Gold","Telecommunication",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-12-29,NA,NA,NA,TRUE,NA,NA,NA,NA
62,62,"Pellentesque Tincidunt Tempus Corporation","001i0000008rCCyAAM",NA,NA,NA,NA,NA,NA,"1035 S Main St, Centerville, OH 45458-3840","Centerville","Ohio",NA,NA,"1035 S Main St, Centerville, OH 45458-3840","Centerville","Ohio",NA,NA,NA,"Gold","Telecommunication",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-12-29,NA,NA,NA,TRUE,NA,NA,NA,NA
63,63,"Duis Inc.","001i0000008rCD2AAM",NA,NA,NA,NA,NA,NA,"8148 Main St, Garrettsville, OH 44231-1216","Garrettsville","Ohio",NA,NA,"8148 Main St, Garrettsville, OH 44231-1216","Garrettsville","Ohio",NA,NA,NA,"Gold","Oil & Gas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-12-29,NA,NA,NA,TRUE,NA,NA,NA,NA
64,64,"Lacus Corporation","001i0000008rCDaAAM",NA,NA,NA,NA,NA,NA,"138 Nassau St Ste A, Princeton, NJ 08542-7011","Princeton","New Jersey",NA,NA,"138 Nassau St Ste A, Princeton, NJ 08542-7011","Princeton","New Jersey",NA,NA,NA,"Gold","Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-09-27,NA,NA,NA,TRUE,NA,NA,NA,NA
