"Name","ID","Website","Email Address","Non Primary E-mails","Office Phone","Alternate Phone","Fax","Billing Street","Billing City","Billing State","Billing Postal Code","Billing Country","Shipping Street","Shipping City","Shipping State","Shipping Postal Code","Shipping Country","Description","Type","Industry","Annual Revenue","Employees","SIC Code","Ticker Symbol","Parent Account ID","Ownership","Campaign ID","Rating","Assigned to","Assigned User","Date Created","Date Modified","Modified By","Created By","Deleted","Geocode Status","Longitude","Address","Latitude"
"Aliquam Vulputate Ullamcorper Company","001i0000008rF3lAAE","","","","","","","8900 San Mateo Blvd NE Ste I, Albuquerque, NM 87113-2459","Albuquerque","New Mexico","","","8900 San Mateo Blvd NE Ste I, Albuquerque, NM 87113-2459","Albuquerque","New Mexico","","","","Other","Retail","","","","","","","","","","","2014-05-19 00:00:00","","","",0,"",-106.585965,"",35.186651
"Aliquam Vulputate Ullamcorper Ltd","001i0000008rDC5AAM","","","","","","","1130 Dublin Rd, Columbus, OH 43215-1039","Columbus","Ohio","","","1130 Dublin Rd, Columbus, OH 43215-1039","Columbus","Ohio","","","","Other","Finance","","","","","","","","","","","2012-12-03 00:00:00","","","",0,"",-83.048965,"",39.974298
"Aliquet Associates","001i0000008rEqYAAU","","","","","","","305 S Market Ave, Springfield, MO 65806-2023","Springfield","Missouri","","","305 S Market Ave, Springfield, MO 65806-2023","Springfield","Missouri","","","","Other","Finance","","","","","","","","","","","2013-11-27 00:00:00","","","",0,"",-93.295819,"",37.207767
"Aliquet Consulting","001i0000008rEwYAAU","","","","","","","1765 West Third Ave, Columbus, OH 43212-2769","Columbus","Ohio","","","1765 West Third Ave, Columbus, OH 43212-2769","Columbus","Ohio","","","","Other","Retail","","","","","","","","","","","2012-12-01 00:00:00","","","",0,"",-83.052928,"",39.985255
"Aliquet Libero Industries","001i0000008rGDdAAM","","","","","","","2001 Atwood Ave, Madison, WI 53704-5324","Madison","Wisconsin","","","2001 Atwood Ave, Madison, WI 53704-5324","Madison","Wisconsin","","","","Other","Retail","","","","","","","","","","","2013-07-01 00:00:00","","","",0,"",-89.355005,"",43.091775
"Aliquet Magna Ltd","001i0000008rELYAA2","","","","","","","345 Cochituate Rd, Framingham, MA 01701-4607","Framingham","Massachusetts","","","345 Cochituate Rd, Framingham, MA 01701-4607","Framingham","Massachusetts","","","","Other","Finance","","","","","","","","","","","2011-06-27 00:00:00","","","",0,"",-71.400266,"",42.302161
"Aliquet Metus Corp.","001i0000008rE8dAAE","","","","","","","30105 Agoura Rd, Agoura Hills, CA 91301-2003","Agoura Hills","California","","","30105 Agoura Rd, Agoura Hills, CA 91301-2003","Agoura Hills","California","","","","Other","Retail","","","","","","","","","","","2014-07-01 00:00:00","","","",0,"",-118.778637,"",34.145337
"Aliquet Molestie Consulting","001i0000008rFLyAAM","","","","","","","1162-B Wind River Rd, Carson, WA 98610-3298","Carson","Washington","","","1162-B Wind River Rd, Carson, WA 98610-3298","Carson","Washington","","","","Other","Utilities","","","","","","","","","","","2015-02-24 00:00:00","","","",0,"",-121.819919,"",45.728863
"Aliquet Sem LLP","001i0000008rFhhAAE","","","","","","","3655 Old Milton Pkwy, Alpharetta, GA 30005-4487","Alpharetta","Georgia","","","3655 Old Milton Pkwy, Alpharetta, GA 30005-4487","Alpharetta","Georgia","","","","Other","Technology","","","","","","","","","","","2012-06-29 00:00:00","","","",0,"",-84.252811,"",34.063786
"Amet Ante Associates","001i0000008rFJ0AAM","","","","","","","102 N Center St Ste 111, Bloomington, IL 61701-5065","Bloomington","Illinois","","","102 N Center St Ste 111, Bloomington, IL 61701-5065","Bloomington","Illinois","","","","Other","Chemicals","","","","","","","","","","","2013-10-22 00:00:00","","","",0,"",-88.994597,"",40.478778
"Amet Associates","001i0000008rFjGAAU","","","","","","","525 N Elizabeth St # 1& # 2, Milton Freewater, OR 97862-1332","Milton Freewater","Oregon","","","525 N Elizabeth St # 1& # 2, Milton Freewater, OR 97862-1332","Milton Freewater","Oregon","","","","Other","Shipping","","","","","","","","","","","2015-04-19 00:00:00","","","",0,"",-118.389196,"",45.941359
"Amet Company","001i0000008rESIAA2","","","","","","","508 Center St, Taft, CA 93268-3109","Taft","California","","","508 Center St, Taft, CA 93268-3109","Taft","California","","","","Other","Finance","","","","","","","","","","","2014-09-16 00:00:00","","","",0,"",-119.459344,"",35.141253
"Amet Consectetuer Ltd","001i0000008rCaWAAU","","","","","","","3321 Dill Smith Dr Bowman Center, Fredericksburg, VA 22408-7319","Fredericksburg","Virginia","","","3321 Dill Smith Dr Bowman Center, Fredericksburg, VA 22408-7319","Fredericksburg","Virginia","","","","Other","Finance","","","","","","","","","","","2012-06-01 00:00:00","","","",0,"",-77.46054,"",38.303184
"Amet Corp.","001i0000008rFggAAE","","","","","","","675 Merrimon Ave, Asheville, NC 28804-3541","Asheville","North Carolina","","","675 Merrimon Ave, Asheville, NC 28804-3541","Asheville","North Carolina","","","","Other","Manufacturing","","","","","","","","","","","2012-06-25 00:00:00","","","",0,"",-82.553603,"",35.622131
"Amet Faucibus Associates","001i0000008rDn2AAE","","","","","","","506 W Broadway St, Mt Pleasant, MI 48858-2441","Mt Pleasant","Michigan","","","506 W Broadway St, Mt Pleasant, MI 48858-2441","Mt Pleasant","Michigan","","","","Other","Technology","","","","","","","","","","","2013-04-08 00:00:00","","","",0,"",-84.781987,"",43.604878
"Amet Risus Donec PC","001i0000008rEtUAAU","","","","","","","11197 Brockway Rd Spc 1, Truckee, CA 96161-3352","Truckee","California","","","11197 Brockway Rd Spc 1, Truckee, CA 96161-3352","Truckee","California","","","","Other","Chemicals","","","","","","","","","","","2014-12-06 00:00:00","","","",0,"",-120.163368,"",39.321906
"Ante Blandit Company","001i0000008rER9AAM","","","","","","","5359 State Route 23, Windham, NY 12496-5906","Windham","New York","","","5359 State Route 23, Windham, NY 12496-5906","Windham","New York","","","","Other","Healthcare","","","","","","","","","","","2011-10-23 00:00:00","","","",0,"",-74.251103,"",42.30743
"Ante Blandit Viverra Consulting","001i0000008rEmoAAE","","","","","","","1901 Mendocino Ave, Santa Rosa, CA 95401-3630","Santa Rosa","California","","","1901 Mendocino Ave, Santa Rosa, CA 95401-3630","Santa Rosa","California","","","","Other","Technology","","","","","","","","","","","2014-11-15 00:00:00","","","",0,"",-122.717609,"",38.459135
"Ante Dictum Cursus Inc.","001i0000008rFNXAA2","","","","","","","11620 Sterling Ave Ste C, Riverside, CA 92503-4904","Riverside","California","","","11620 Sterling Ave Ste C, Riverside, CA 92503-4904","Riverside","California","","","","Other","Healthcare","","","","","","","","","","","2014-08-20 00:00:00","","","",0,"",-117.484431,"",33.895625
"Ante Iaculis Nec Incorporated","001i0000008rFR5AAM","","","","","","","125 S Main St Ste 400, Milford, MI 48381-1976","Milford","Michigan","","","125 S Main St Ste 400, Milford, MI 48381-1976","Milford","Michigan","","","","Other","Manufacturing","","","","","","","","","","","2013-03-31 00:00:00","","","",0,"",-83.60013,"",42.586485
"Ante Ipsum Corp.","001i0000008rGAGAA2","","","","","","","585 Oak Ave, Spruce Pine, NC 28777-2727","Spruce Pine","North Carolina","","","585 Oak Ave, Spruce Pine, NC 28777-2727","Spruce Pine","North Carolina","","","","Other","Engineering","","","","","","","","","","","2012-06-25 00:00:00","","","",0,"",-82.063568,"",35.91591
"Ante Ipsum Inc.","001i0000008rEhUAAU","","","","","","","300 W Main St, Louisville, KY 40202-2945","Louisville","Kentucky","","","300 W Main St, Louisville, KY 40202-2945","Louisville","Kentucky","","","","Other","Retail","","","","","","","","","","","2012-10-29 00:00:00","","","",0,"",-85.755085,"",38.256221
"Ante LLC","001i0000008rFVtAAM","","","","","","","28779 Hunter Creek Loop, Gold Beach, OR 97444-9626","Gold Beach","Oregon","","","28779 Hunter Creek Loop, Gold Beach, OR 97444-9626","Gold Beach","Oregon","","","","Other","Utilities","","","","","","","","","","","2015-03-23 00:00:00","","","",0,"",-124.415489,"",42.389128
"Ante Maecenas Ltd","001i0000008rG3bAAE","","","","","","","1800 4th St NW, Albuquerque, NM 87102","Albuquerque","New Mexico","","","1800 4th St NW, Albuquerque, NM 87102","Albuquerque","New Mexico","","","","Other","Hospitality","","","","","","","","","","","2011-03-30 00:00:00","","","",0,"",-106.647701,"",35.102217
"Ante Nunc LLP","001i0000008rEd9AAE","","","","","","","611 Escobar St, Martinez, CA 94553-1111","Martinez","California","","","611 Escobar St, Martinez, CA 94553-1111","Martinez","California","","","","Other","Manufacturing","","","","","","","","","","","2014-10-13 00:00:00","","","",0,"",-122.137792,"",38.0178
"Ante Vivamus Corp.","001i0000008rCX8AAM","","","","","","","121 Bridge St, Bellaire, MI 49615-1230","Bellaire","Michigan","","","121 Bridge St, Bellaire, MI 49615-1230","Bellaire","Michigan","","","","Other","Technology","","","","","","","","","","","2013-05-12 00:00:00","","","",0,"",-85.210421,"",44.976252
"Ante Vivamus Institute","001i0000008rEuLAAU","","","","","","","719 Virginia Ave #105, Indianapolis, IN 46203-1793","Indianapolis","Indiana","","","719 Virginia Ave #105, Indianapolis, IN 46203-1793","Indianapolis","Indiana","","","","Other","Technology","","","","","","","","","","","2013-01-26 00:00:00","","","",0,"",-86.145702,"",39.757158
"Arcu Ac Orci Incorporated","001i0000008rEZeAAM","","","","","","","333 California Dr, Burlingame, CA 94010-4114","Burlingame","California","","","333 California Dr, Burlingame, CA 94010-4114","Burlingame","California","","","","Other","Telecommunications","","","","","","","","","","","2014-09-28 00:00:00","","","",0,"",-122.346296,"",37.579947
"Arcu Aliquam Ultrices Corp.","001i0000008rG8fAAE","","","","","","","1012 Main St, Evanston, WY 82930-3443","Evanston","Wyoming","","","1012 Main St, Evanston, WY 82930-3443","Evanston","Wyoming","","","","Other","Manufacturing","","","","","","","","","","","2014-03-31 00:00:00","","","",0,"",-110.966146,"",41.26818
"Arcu Eu Institute","001i0000008rFdPAAU","","","","","","","1547 Mission Dr, Solvang, CA 93463-2607","Solvang","California","","","1547 Mission Dr, Solvang, CA 93463-2607","Solvang","California","","","","Other","Telecommunications","","","","","","","","","","","2014-09-23 00:00:00","","","",0,"",-120.143483,"",34.596259
"Arcu PC","001i0000008rCFaAAM","","","","","","","40827 Stone Rd, Big Bear Lake, CA 92315","Big Bear Lake","California","","","40827 Stone Rd, Big Bear Lake, CA 92315","Big Bear Lake","California","","","","Other","Finance","","","","","","","","","","","2011-01-22 00:00:00","","","",0,"",-116.911031,"",34.242542
"At Egestas LLP","001i0000008rCa9AAE","","","","","","","5509 Coastal Hwy, Ocean City, MD 21842-3144","Ocean City","Maryland","","","5509 Coastal Hwy, Ocean City, MD 21842-3144","Ocean City","Maryland","","","","Other","Other","","","","","","","","","","","2012-05-08 00:00:00","","","",0,"",-75.068663,"",38.38021
"At Incorporated","001i0000008rFxKAAU","","","","","","","454 Carolina Wy, Highlands, NC 28741","Highlands","North Carolina","","","454 Carolina Wy, Highlands, NC 28741","Highlands","North Carolina","","","","Other","Transportation","","","","","","","","","","","2011-03-29 00:00:00","","","",0,"",-83.195433,"",35.053896
"At Libero PC","001i0000008rG1JAAU","","","","","","","332 E Main St, Ottumwa, IA 52501-3041","Ottumwa","Iowa","","","332 E Main St, Ottumwa, IA 52501-3041","Ottumwa","Iowa","","","","Other","Telecommunications","","","","","","","","","","","2013-06-17 00:00:00","","","",0,"",-92.409518,"",41.015449
"At Pede Cras Corporation","001i0000008rE7XAAU","","","","","","","357 Price Pl, Madison, WI 53705-3208","Madison","Wisconsin","","","357 Price Pl, Madison, WI 53705-3208","Madison","Wisconsin","","","","Other","Utilities","","","","","","","","","","","2013-07-01 00:00:00","","","",0,"",-89.452327,"",43.071142
"At Velit Pellentesque Inc.","001i0000008rG7rAAE","","","","","","","865 S Rock Blvd, Sparks, NV 89431-5921","Sparks","Nevada","","","865 S Rock Blvd, Sparks, NV 89431-5921","Sparks","Nevada","","","","Other","Shipping","","","","","","","","","","","2014-06-21 00:00:00","","","",0,"",-119.767448,"",39.526657
"Auctor Corporation","001i0000008rEZSAA2","","","","","","","620 F St, Fresno, CA 93706-3413","Fresno","California","","","620 F St, Fresno, CA 93706-3413","Fresno","California","","","","Other","Manufacturing","","","","","","","","","","","2014-09-28 00:00:00","","","",0,"",-119.790665,"",36.727071
"Auctor Foundation","001i0000008rDhcAAE","","","","","","","103 N Phelps St, Decatur, MI 49045-1008","Decatur","Michigan","","","103 N Phelps St, Decatur, MI 49045-1008","Decatur","Michigan","","","","Other","Telecommunications","","","","","","","","","","","2013-04-14 00:00:00","","","",0,"",-85.974336,"",42.108739
"Auctor Quis Limited","001i0000008rFnEAAU","","","","","","","938 N 95th St, Seattle, WA 98103-3206","Seattle","Washington","","","938 N 95th St, Seattle, WA 98103-3206","Seattle","Washington","","","","Other","Utilities","","","","","","","","","","","2014-04-29 00:00:00","","","",0,"",-122.345602,"",47.698077
"Auctor Vitae Aliquet Company","001i0000008rFhnAAE","","","","","","","1140 S Michigan Ave, Howell, MI 48843-2669","Howell","Michigan","","","1140 S Michigan Ave, Howell, MI 48843-2669","Howell","Michigan","","","","Other","Manufacturing","","","","","","","","","","","2013-04-03 00:00:00","","","",0,"",-83.934119,"",42.594454
"Augue Id Associates","001i0000008rF0lAAE","","","","","","","23845 Highway 385, Hill City, SD 57745-6517","Hill City","South Dakota","","","23845 Highway 385, Hill City, SD 57745-6517","Hill City","South Dakota","","","","Other","Technology","","","","","","","","","","","2013-09-22 00:00:00","","","",0,"",-103.522307,"",43.948569
"Augue Ltd","001i0000008rFG9AAM","","","","","","","4057 Erie St, Willoughby, OH 44094-7804","Willoughby","Ohio","","","4057 Erie St, Willoughby, OH 44094-7804","Willoughby","Ohio","","","","Other","Finance","","","","","","","","","","","2012-12-26 00:00:00","","","",0,"",-81.405579,"",41.641482
"Big T Burgers and Fries","001i0000008rFL3AAM","","","","","","","61 Brookline Ave, Boston, MA 02215-3406","Boston","Massachusetts","","","61 Brookline Ave, Boston, MA 02215-3406","Boston","Massachusetts","","","","Other","Recreation","","","","","","","","","","","2011-06-30 00:00:00","","","",0,"",-71.099081,"",42.347128
