"Opportunity Name","ID","Opportunity Amount","Currency","Expected Close Date","Sales Stage","Probability (%)","Next Step","Type","Account Name","Description","Amount","Lead Source","campaign_id","Assigned to","Assigned User","Date Created","Date Modified","Created By","Modified By","Deleted","Geocode Status","Longitude","Address","Latitude"
"Mollis Dui Consulting vtdHAAQ  MOL Standard Software","006i0000001vtdHAAQ",17,"","04/29/2012","Closed Lost","","","Software","Mollis Dui Consulting","",12104,"","","","","05/01/2012 00:00","","","","","",-77.027455,"",38.988707
"Venenatis A Limited vtDWAAY  MOL Standard Software","006i0000001vtDWAAY",13,"","05/08/2011","Closed Won","","","Software","Venenatis A Limited","",9048,"","","","","05/10/2011 00:00","","","","","",-77.252431,"",42.872218
"Venenatis A Limited vtF7AAI  MOL Standard Maintenance","006i0000001vtF7AAI",5,"","06/08/2011","Closed Won","","","Maintenance","Venenatis A Limited","",552,"","","","","06/07/2011 00:00","","","","","",-77.252431,"",42.872218
"Venenatis A Limited vte9AAA  MOL Standard Services","006i0000001vte9AAA",2,"","05/10/2012","Closed Lost","","","Services","Venenatis A Limited","",1218,"","","","","05/09/2012 00:00","","","","","",-77.252431,"",42.872218
"Sample, inc vtdnAAA  MOL Standard Services","006i0000001vtdnAAA",2,"","05/06/2012","Closed Lost","","","Services","Sample, inc","",1232,"","","","","05/05/2012 00:00","","","","","",-75.859193,"",37.979995
"Nisl Arcu Consulting vt9JAAQ  MOL Mobile Services","006i0000001vt9JAAQ",7,"","01/30/2011","Closed Won","","","Services","Nisl Arcu Consulting","",4158,"","","","","02/01/2011 00:00","","","","","",-120.141848,"",39.170569
"Nisl Arcu Consulting vtENAAY  MOL Mobile Software","006i0000001vtENAAY",8,"","06/04/2011","Closed Won","","","Software","Nisl Arcu Consulting","",6048,"","","","","05/29/2011 00:00","","","","","",-120.141848,"",39.170569
"Nisl Arcu Consulting vtfAAAQ  MOL Standard Services","006i0000001vtfAAAQ",20,"","05/25/2012","Closed Won","","","Services","Nisl Arcu Consulting","",10780,"","","","","05/25/2012 00:00","","","","","",-120.141848,"",39.170569
"Tellus LLP vtCEAAY  MOL Standard Software","006i0000001vtCEAAY",37,"","03/28/2011","Closed Won","","","Software","Tellus LLP","",25456,"","","","","03/30/2011 00:00","","","","","",-71.205574,"",43.8225
"Fringilla Porttitor Vulputate Company vtF9AAI  MOL Standard Software","006i0000001vtF9AAI",3,"","06/05/2011","Closed Won","","","Software","Fringilla Porttitor Vulputate Company","",2064,"","","","","06/07/2011 00:00","","","","","",-122.636424,"",45.526222
"Fringilla Porttitor Vulputate Company vtgOAAQ  MOL Standard Software","006i0000001vtgOAAQ",23,"","06/08/2012","Closed Lost","","","Software","Fringilla Porttitor Vulputate Company","",14720,"","","","","06/05/2012 00:00","","","","","",-122.636424,"",45.526222
"Sagittis Semper Nam Institute vtFcAAI  MOL Standard Software","006i0000001vtFcAAI",11,"","06/12/2011","Closed Won","","","Software","Sagittis Semper Nam Institute","",6776,"","","","","06/14/2011 00:00","","","","","",-86.810172,"",36.158372
"Sagittis Semper Nam Institute vthTAAQ  MOL Standard Software","006i0000001vthTAAQ",127,"","06/16/2012","Closed Won","","","Software","Sagittis Semper Nam Institute","",101600,"","","","","06/13/2012 00:00","","","","","",-86.810172,"",36.158372
"Curabitur Ut Consulting vtHlAAI  MOL Standard Services","006i0000001vtHlAAI",1,"","06/28/2011","Closed Lost","","","Services","Curabitur Ut Consulting","",560,"","","","","06/30/2011 00:00","","","","","",-71.060233,"",42.364324
"Curabitur Ut Consulting vtHmAAI  MOL Standard Software","006i0000001vtHmAAI",16,"","06/28/2011","Closed Lost","","","Software","Curabitur Ut Consulting","",11392,"","","","","06/30/2011 00:00","","","","","",-71.060233,"",42.364324
"Interdum Consulting vtGiAAI  MOL Standard Software","006i0000001vtGiAAI",11,"","06/25/2011","Closed Won","","","Software","Interdum Consulting","",6512,"","","","","06/27/2011 00:00","","","","","",-71.085238,"",42.772665
"Interdum Consulting vtjLAAQ  MOL Standard Services","006i0000001vtjLAAQ",107,"","06/30/2012","Closed Lost","","","Services","Interdum Consulting","",55426,"","","","","06/26/2012 00:00","","","","","",-71.085238,"",42.772665
"Quis Lectus Associates vtjgAAA  MOL Standard Software","006i0000001vtjgAAA",13,"","06/26/2012","Closed Won","","","Software","Quis Lectus Associates","",8840,"","","","","06/28/2012 00:00","","","","","",-82.163725,"",34.189648
"Etiam Corporation vtKbAAI  MOL Premium Software","006i0000001vtKbAAI",22,"","09/04/2011","Closed Lost","","","Software","Etiam Corporation","",20328,"","","","","09/06/2011 00:00","","","","","",-72.217162,"",41.713079
"Tempus Eu Ligula Corporation vtMBAAY  MOL Standard Software","006i0000001vtMBAAY",6,"","10/04/2011","Closed Lost","","","Software","Tempus Eu Ligula Corporation","",4368,"","","","","09/27/2011 00:00","","","","","",-73.928955,"",41.286954
"Neque LLP vtllAAA  MOL Standard Maintenance","006i0000001vtllAAA",22,"","07/08/2012","Closed Won","","","Maintenance","Neque LLP","",2455.2,"","","","","07/10/2012 00:00","","","","","",-84.410794,"",33.778989
"Sem Incorporated vt99AAA  MOL Standard Maintenance","006i0000001vt99AAA",11,"","02/02/2011","Closed Lost","","","Maintenance","Sem Incorporated","",1016.4,"","","","","01/28/2011 00:00","","","","","",-105.089706,"",39.993596
"Sem Incorporated vtMuAAI  MOL Standard Software","006i0000001vtMuAAI",2,"","10/15/2011","Closed Lost","","","Software","Sem Incorporated","",1344,"","","","","10/10/2011 00:00","","","","","",-105.089706,"",39.993596
"Enim Industries vtMzAAI  MOL Standard Software","006i0000001vtMzAAI",6,"","10/09/2011","Closed Won","","","Software","Enim Industries","",4320,"","","","","10/11/2011 00:00","","","","","",-73.688093,"",42.735884
"Malesuada Limited vtLrAAI  MOL Standard Maintenance","006i0000001vtLrAAI",52,"","09/23/2011","Closed Won","","","Maintenance","Malesuada Limited","",6177.6,"","","","","09/25/2011 00:00","","","","","",-75.03819,"",39.862236
"Malesuada Limited vttDAAQ  MOL Standard Software","006i0000001vttDAAQ",47,"","10/03/2012","Closed Won","","","Software","Malesuada Limited","",34592,"","","","","09/26/2012 00:00","","","","","",-75.03819,"",39.862236
"Ipsum Cursus Vestibulum Company vtMpAAI  MOL Standard Software","006i0000001vtMpAAI",12,"","10/07/2011","Closed Won","","","Software","Ipsum Cursus Vestibulum Company","",7008,"","","","","10/09/2011 00:00","","","","","",-73.021595,"",40.759222
"Ipsum Cursus Vestibulum Company vtvjAAA  MOL Standard Software","006i0000001vtvjAAA",2,"","10/12/2012","Closed Lost","","","Software","Ipsum Cursus Vestibulum Company","",1248,"","","","","10/10/2012 00:00","","","","","",-73.021595,"",40.759222
"Cras Convallis Convallis LLP vtMqAAI  MOL Standard Software","006i0000001vtMqAAI",9,"","10/07/2011","Closed Won","","","Software","Cras Convallis Convallis LLP","",6336,"","","","","10/09/2011 00:00","","","","","",-74.022847,"",41.058405
"Cras Convallis Convallis LLP vtvkAAA  MOL Premium Maintenance","006i0000001vtvkAAA",1,"","10/10/2012","Closed Lost","","","Maintenance","Cras Convallis Convallis LLP","",142.5,"","","","","10/10/2012 00:00","","","","","",-74.022847,"",41.058405
"Sagittis Corp. vtMhAAI  MOL Standard Software","006i0000001vtMhAAI",50,"","10/24/2011","Closed Won","","","Software","Sagittis Corp.","",34400,"","","","","10/03/2011 00:00","","","","","",-73.74776,"",42.654103
"Sagittis Corp. vtN0AAI  MOL Standard Software","006i0000001vtN0AAI",16,"","10/24/2011","Closed Won","","","Software","Sagittis Corp.","",11136,"","","","","10/11/2011 00:00","","","","","",-73.74776,"",42.654103
"Sagittis Corp. vtv5AAA  MOL Standard Software","006i0000001vtv5AAA",242,"","10/11/2012","Closed Won","","","Software","Sagittis Corp.","",180048,"","","","","10/04/2012 00:00","","","","","",-73.74776,"",42.654103
"Sagittis Corp. vtvpAAA  MOL Standard Software","006i0000001vtvpAAA",6,"","10/18/2012","Closed Won","","","Software","Sagittis Corp.","",4416,"","","","","10/12/2012 00:00","","","","","",-73.74776,"",42.654103
"Globex Corporation vtHQAAY  MOL Standard Software","006i0000001vtHQAAY",35,"","07/01/2011","Closed Lost","","","Software","Globex Corporation","",21000,"","","","","06/30/2011 00:00","","","","","",-71.09006,"",42.367815
"Globex Corporation vtQeAAI  MOL Standard Software","006i0000001vtQeAAI",11,"","12/12/2011","Closed Won","","","Maintenance","Globex Corporation","",1016.4,"","","","","12/10/2011 00:00","","","","","",-71.09006,"",42.367815
"Globex Corporation vtciAAA  MOL Mobile Software","006i0000001vtciAAA",12,"","05/04/2012","Closed Lost","","","Software","Globex Corporation","",9180,"","","","","04/29/2012 00:00","","","","","",-71.09006,"",42.367815
"Globex Corporation vtyJAAQ  MOL Standard Software","006i0000001vtyJAAQ",1,"","11/14/2012","Closed Lost","","","Software","Globex Corporation","",768,"","","","","11/08/2012 00:00","","","","","",-71.09006,"",42.367815
"At Egestas LLP vte8AAA  MOL Standard Software","006i0000001vte8AAA",3,"","05/06/2012","Closed Won","","","Software","At Egestas LLP","",2400,"","","","","05/08/2012 00:00","","","","","",-75.068663,"",38.38021
"At Egestas LLP vuSSAAY  MOL Standard Services","006i0000001vuSSAAY",13,"","06/08/2013","Closed Won","","","Services","At Egestas LLP","",7553,"","","","","06/01/2013 00:00","","","","","",-75.068663,"",38.38021
"Amet Consectetuer Ltd vtfvAAA  MOL Standard Software","006i0000001vtfvAAA",3,"","05/30/2012","Closed Won","","","Software","Amet Consectetuer Ltd","",2160,"","","","","06/01/2012 00:00","","","","","",-77.46054,"",38.303184
"Amet Consectetuer Ltd vuSpAAI  MOL Standard Software","006i0000001vuSpAAI",15,"","06/11/2013","Closed Won","","","Software","Amet Consectetuer Ltd","",11160,"","","","","06/03/2013 00:00","","","","","",-77.46054,"",38.303184
"Multimodous Ventures vtA3AAI  MOL Standard Software","006i0000001vtA3AAI",1,"","03/08/2011","Closed Lost","","","Software","Multimodous Ventures","",664,"","","","","02/28/2011 00:00","","","","","",-87.817123,"",41.879132
"Multimodous Ventures vtETAAY  MOL Standard Software","006i0000001vtETAAY",6,"","06/04/2011","Closed Won","","","Software","Multimodous Ventures","",4560,"","","","","05/30/2011 00:00","","","","","",-87.817123,"",41.879132
"Multimodous Ventures vtESAAY  MOL Standard Maintenance","006i0000001vtESAAY",3,"","06/05/2011","Closed Won","","","Maintenance","Multimodous Ventures","",338.4,"","","","","05/30/2011 00:00","","","","","",-87.817123,"",41.879132
"Multimodous Ventures vtfwAAA  MOL Standard Maintenance","006i0000001vtfwAAA",33,"","06/04/2012","Closed Won","","","Maintenance","Multimodous Ventures","",2890.8,"","","","","06/02/2012 00:00","","","","","",-87.817123,"",41.879132
"Multimodous Ventures vtgvAAA  MOL Standard Software","006i0000001vtgvAAA",4,"","06/15/2012","Closed Lost","","","Software","Multimodous Ventures","",2496,"","","","","06/10/2012 00:00","","","","","",-87.817123,"",41.879132
"Multimodous Ventures vuUsAAI  MOL Standard Software","006i0000001vuUsAAI",9,"","06/16/2013","Closed Won","","","Software","Multimodous Ventures","",5400,"","","","","06/13/2013 00:00","","","","","",-87.817123,"",41.879132
"Pellentesque Tincidunt Tempus Corporation vu5NAAQ  MOL Standard Software","006i0000001vu5NAAQ",17,"","12/27/2012","Closed Lost","","","Software","Pellentesque Tincidunt Tempus Corporation","",11424,"","","","","12/29/2012 00:00","","","","","",-84.162792,"",39.609076
"Pellentesque Tincidunt Tempus Corporation vu5OAAQ  MOL Standard Software","006i0000001vu5OAAQ",8,"","12/27/2012","Closed Won","","","Software","Pellentesque Tincidunt Tempus Corporation","",6016,"","","","","12/29/2012 00:00","","","","","",-84.162792,"",39.609076
"Duis Inc. vu5RAAQ  MOL Standard Software","006i0000001vu5RAAQ",199,"","12/27/2012","Closed Lost","","","Software","Duis Inc.","",114624,"","","","","12/29/2012 00:00","","","","","",-81.0971,"",41.284013
"Lacus Corporation vtMJAAY  MOL Standard Software","006i0000001vtMJAAY",76,"","09/25/2011","Closed Won","","","Software","Lacus Corporation","",54720,"","","","","09/27/2011 00:00","","","","","",-74.65817,"",40.350306
"Lacus Corporation vu5zAAA  MOL Standard Software","006i0000001vu5zAAA",222,"","01/04/2013","Closed Lost","","","Software","Lacus Corporation","",136752,"","","","","12/30/2012 00:00","","","","","",-74.65817,"",40.350306
"Blandit Company vtQOAAY  MOL Mobile Services","006i0000001vtQOAAY",1,"","01/01/2012","Closed Lost","","","Services","Blandit Company","",504,"","","","","12/03/2011 00:00","","","","","",-77.656419,"",39.939343
"Blandit Company vu61AAA  MOL Premium Software","006i0000001vu61AAA",13,"","01/01/2013","Closed Won","","","Software","Blandit Company","",14508,"","","","","12/30/2012 00:00","","","","","",-77.656419,"",39.939343
"Facilisis Facilisis Associates vu5fAAA  MOL Standard Software","006i0000001vu5fAAA",21,"","12/27/2012","Closed Lost","","","Software","Facilisis Facilisis Associates","",12432,"","","","","12/29/2012 00:00","","","","","",-81.856121,"",41.460948
"Nulla Semper Tellus Consulting vthZAAQ  MOL Standard Software","006i0000001vthZAAQ",11,"","06/13/2012","Closed Won","","","Software","Nulla Semper Tellus Consulting","",8272,"","","","","06/15/2012 00:00","","","","","",-79.715061,"",36.517968
"Nulla Semper Tellus Consulting vuVcAAI  MOL Standard Maintenance","006i0000001vuVcAAI",157,"","06/23/2013","Closed Won","","","Maintenance","Nulla Semper Tellus Consulting","",18463.2,"","","","","06/17/2013 00:00","","","","","",-79.715061,"",36.517968
"Nonummy Ipsum Non Corporation vthxAAA  MOL Standard Maintenance","006i0000001vthxAAA",26,"","06/14/2012","Closed Won","","","Maintenance","Nonummy Ipsum Non Corporation","",2527.2,"","","","","06/16/2012 00:00","","","","","",-78.25848,"",35.486078
"Nonummy Ipsum Non Corporation vuW3AAI  MOL Standard Software","006i0000001vuW3AAI",3,"","06/24/2013","Closed Won","","","Software","Nonummy Ipsum Non Corporation","",2208,"","","","","06/18/2013 00:00","","","","","",-78.25848,"",35.486078
"Dui In Sodales Incorporated vu5hAAA  MOL Standard Software","006i0000001vu5hAAA",220,"","12/27/2012","Closed Won","","","Software","Dui In Sodales Incorporated","",133760,"","","","","12/29/2012 00:00","","","","","",-84.17121,"",39.357356
"Tincidunt Aliquam Foundation vtTJAAY  MOL Standard Maintenance","006i0000001vtTJAAY",29,"","12/31/2011","Closed Won","","","Maintenance","Tincidunt Aliquam Foundation","",2888.4,"","","","","01/02/2012 00:00","","","","","",-76.946072,"",40.238345
"Tincidunt Aliquam Foundation vu6NAAQ  MOL Standard Services","006i0000001vu6NAAQ",7,"","01/09/2013","Closed Lost","","","Services","Tincidunt Aliquam Foundation","",4851,"","","","","01/03/2013 00:00","","","","","",-76.946072,"",40.238345
"Lectus Pede Et Associates vtFwAAI  MOL Standard Maintenance","006i0000001vtFwAAI",2,"","06/16/2011","Closed Lost","","","Maintenance","Lectus Pede Et Associates","",206.4,"","","","","06/18/2011 00:00","","","","","",-72.640156,"",44.901288
"Lectus Pede Et Associates vtgcAAA  MOL Standard Software","006i0000001vtgcAAA",123,"","06/13/2012","Closed Lost","","","Software","Lectus Pede Et Associates","",89544,"","","","","06/08/2012 00:00","","","","","",-72.640156,"",44.901288
"Lectus Pede Et Associates vuWTAAY  MOL Standard Software","006i0000001vuWTAAY",1,"","06/26/2013","Closed Lost","","","Software","Lectus Pede Et Associates","",600,"","","","","06/19/2013 00:00","","","","","",-72.640156,"",44.901288
"Arcu PC vt8zAAA  MOL Standard Software","006i0000001vt8zAAA",3,"","01/20/2011","Closed Won","","","Software","Arcu PC","",2184,"","","","","01/22/2011 00:00","","","","","",-116.911031,"",34.242542
"Arcu PC vtc3AAA  MOL Standard Software","006i0000001vtc3AAA",48,"","04/26/2012","Closed Won","","","Software","Arcu PC","",28032,"","","","","04/23/2012 00:00","","","","","",-116.911031,"",34.242542
"Arcu PC vu7xAAA  MOL Standard Software","006i0000001vu7xAAA",9,"","01/24/2013","Closed Won","","","Software","Arcu PC","",6192,"","","","","01/23/2013 00:00","","","","","",-116.911031,"",34.242542
"Tristique Senectus Et LLP vtGZAAY  MOL Standard Software","006i0000001vtGZAAY",11,"","06/24/2011","Closed Won","","","Maintenance","Tristique Senectus Et LLP","",963.6,"","","","","06/26/2011 00:00","","","","","",-72.599521,"",42.584489
"Tristique Senectus Et LLP vteNAAQ  MOL Standard Software","006i0000001vteNAAQ",46,"","05/19/2012","Closed Won","","","Software","Tristique Senectus Et LLP","",25760,"","","","","05/13/2012 00:00","","","","","",-72.599521,"",42.584489
"Tristique Senectus Et LLP vtkJAAQ  MOL Standard Maintenance","006i0000001vtkJAAQ",1,"","07/05/2012","Closed Lost","","","Maintenance","Tristique Senectus Et LLP","",111.6,"","","","","06/29/2012 00:00","","","","","",-72.599521,"",42.584489
"Tristique Senectus Et LLP vu56AAA  MOL Standard Maintenance","006i0000001vu56AAA",77,"","01/02/2013","Closed Won","","","Maintenance","Tristique Senectus Et LLP","",7761.6,"","","","","12/29/2012 00:00","","","","","",-72.599521,"",42.584489
"Tristique Senectus Et LLP vuXwAAI  MOL Standard Services","006i0000001vuXwAAI",38,"","07/04/2013","Closed Lost","","","Services","Tristique Senectus Et LLP","",21014,"","","","","06/27/2013 00:00","","","","","",-72.599521,"",42.584489
"Vehicula Limited vtj2AAA  MOL Standard Services","006i0000001vtj2AAA",6,"","06/22/2012","Closed Won","","","Services","Vehicula Limited","",3990,"","","","","06/24/2012 00:00","","","","","",-78.882782,"",35.053819
"Vehicula Limited vuXlAAI  MOL Standard Services","006i0000001vuXlAAI",5,"","07/01/2013","Closed Won","","","Services","Vehicula Limited","",2485,"","","","","06/26/2013 00:00","","","","","",-78.882782,"",35.053819
"Adipiscing Corporation vtpVAAQ  MOL Standard Software","006i0000001vtpVAAQ",47,"","08/24/2012","Closed Won","","","Software","Adipiscing Corporation","",35344,"","","","","08/26/2012 00:00","","","","","",-81.555115,"",28.365942
"Adipiscing Corporation vuYLAAY  MOL Standard Services","006i0000001vuYLAAY",158,"","07/06/2013","Closed Lost","","","Services","Adipiscing Corporation","",87374,"","","","","06/29/2013 00:00","","","","","",-81.555115,"",28.365942
"Consectetuer Rhoncus Nullam Foundation vuaMAAQ  MOL Standard Maintenance","006i0000001vuaMAAQ",14,"","06/29/2013","Closed Won","","","Maintenance","Consectetuer Rhoncus Nullam Foundation","",1461.6,"","","","","07/01/2013 00:00","","","","","",-89.345654,"",43.093672
"Turpis Nulla Incorporated vtmDAAQ  MOL Standard Services","006i0000001vtmDAAQ",6,"","07/14/2012","Closed Won","","","Services","Turpis Nulla Incorporated","",3486,"","","","","07/16/2012 00:00","","","","","",-84.379726,"",33.90805
"Turpis Nulla Incorporated vucIAAQ  MOL Standard Software","006i0000001vucIAAQ",5,"","07/19/2013","Closed Won","","","Software","Turpis Nulla Incorporated","",3960,"","","","","07/18/2013 00:00","","","","","",-84.379726,"",33.90805
"Massa Suspendisse Eleifend LLP vtX2AAI  MOL Standard Services","006i0000001vtX2AAI",95,"","03/01/2012","Closed Lost","","","Services","Massa Suspendisse Eleifend LLP","",46550,"","","","","03/03/2012 00:00","","","","","",-76.426756,"",41.024771
"Massa Suspendisse Eleifend LLP vuDBAAY  MOL Standard Software","006i0000001vuDBAAY",374,"","03/07/2013","Closed Lost","","","Software","Massa Suspendisse Eleifend LLP","",236368,"","","","","03/05/2013 00:00","","","","","",-76.426756,"",41.024771
"Lacus Ut Nec Incorporated vtZoAAI  MOL Standard Software","006i0000001vtZoAAI",11,"","03/25/2012","Closed Won","","","Software","Lacus Ut Nec Incorporated","",8272,"","","","","03/27/2012 00:00","","","","","",-75.219338,"",40.022638
"Lacus Ut Nec Incorporated vtn6AAA  MOL Standard Software","006i0000001vtn6AAA",22,"","08/01/2012","Closed Lost","","","Software","Lacus Ut Nec Incorporated","",15840,"","","","","07/29/2012 00:00","","","","","",-75.219338,"",40.022638
"Lacus Ut Nec Incorporated vuHrAAI  MOL Standard Software","006i0000001vuHrAAI",175,"","04/04/2013","Closed Lost","","","Software","Lacus Ut Nec Incorporated","",103600,"","","","","03/29/2013 00:00","","","","","",-75.219338,"",40.022638
"Lacus Ut Nec Incorporated vudyAAA  MOL Standard Services","006i0000001vudyAAA",1,"","08/02/2013","Closed Lost","","","Services","Lacus Ut Nec Incorporated","",553,"","","","","07/31/2013 00:00","","","","","",-75.219338,"",40.022638
"Erat Etiam Incorporated vtAZAAY  MOL Standard Services","006i0000001vtAZAAY",4,"","03/09/2011","Closed Won","","","Services","Erat Etiam Incorporated","",2688,"","","","","03/11/2011 00:00","","","","","",-93.192564,"",44.970161
"Erat Etiam Incorporated vtahAAA  MOL Standard Software","006i0000001vtahAAA",4,"","04/10/2012","Closed Won","","","Software","Erat Etiam Incorporated","",2432,"","","","","04/08/2012 00:00","","","","","",-93.192564,"",44.970161
"Erat Etiam Incorporated vuEEAAY  MOL Standard Services","006i0000001vuEEAAY",8,"","03/17/2013","Closed Lost","","","Services","Erat Etiam Incorporated","",5040,"","","","","03/12/2013 00:00","","","","","",-93.192564,"",44.970161
"Fusce Aliquam Enim Limited vtKHAAY  MOL Standard Software","006i0000001vtKHAAY",9,"","08/26/2011","Closed Won","","","Software","Fusce Aliquam Enim Limited","",6336,"","","","","08/28/2011 00:00","","","","","",-72.97756,"",43.606701
"Fusce Aliquam Enim Limited vtVoAAI  MOL Standard Services","006i0000001vtVoAAI",17,"","02/17/2012","Closed Won","","","Services","Fusce Aliquam Enim Limited","",8330,"","","","","02/13/2012 00:00","","","","","",-72.97756,"",43.606701
"Fusce Aliquam Enim Limited vtnRAAQ  MOL Standard Software","006i0000001vtnRAAQ",2,"","07/31/2012","Closed Won","","","Software","Fusce Aliquam Enim Limited","",1520,"","","","","07/31/2012 00:00","","","","","",-72.97756,"",43.606701
"Fusce Aliquam Enim Limited vuANAAY  MOL Standard Software","006i0000001vuANAAY",311,"","02/21/2013","Closed Lost","","","Software","Fusce Aliquam Enim Limited","",204016,"","","","","02/14/2013 00:00","","","","","",-72.97756,"",43.606701
"Fusce Aliquam Enim Limited vuiyAAA  MOL Standard Software","006i0000001vuiyAAA",313,"","09/03/2013","Closed Lost","","","Software","Fusce Aliquam Enim Limited","",177784,"","","","","08/29/2013 00:00","","","","","",-72.97756,"",43.606701
"Natoque LLP vtqJAAQ  MOL Standard Software","006i0000001vtqJAAQ",7,"","09/01/2012","Closed Won","","","Software","Natoque LLP","",5600,"","","","","09/03/2012 00:00","","","","","",-80.165924,"",26.039977
"Natoque LLP vuk5AAA  MOL Standard Software","006i0000001vuk5AAA",8,"","09/09/2013","Closed Won","","","Software","Natoque LLP","",5952,"","","","","09/04/2013 00:00","","","","","",-80.165924,"",26.039977
"Nibh Lacinia Orci Industries vtoeAAA  MOL Standard Software","006i0000001vtoeAAA",7,"","08/24/2012","Closed Won","","","Software","Nibh Lacinia Orci Industries","",5488,"","","","","08/15/2012 00:00","","","","","",-81.408468,"",30.287657
"Nibh Lacinia Orci Industries vtpUAAQ  MOL Standard Software","006i0000001vtpUAAQ",14,"","08/24/2012","Closed Won","","","Software","Nibh Lacinia Orci Industries","",10752,"","","","","08/26/2012 00:00","","","","","",-81.408468,"",30.287657
"Nibh Lacinia Orci Industries vtpcAAA  MOL Standard Software","006i0000001vtpcAAA",165,"","09/01/2012","Closed Won","","","Software","Nibh Lacinia Orci Industries","",113520,"","","","","08/27/2012 00:00","","","","","",-81.408468,"",30.287657
"Nibh Lacinia Orci Industries vtrTAAQ  MOL Standard Maintenance","006i0000001vtrTAAQ",19,"","09/20/2012","Closed Won","","","Maintenance","Nibh Lacinia Orci Industries","",2280,"","","","","09/12/2012 00:00","","","","","",-81.408468,"",30.287657
"Nibh Lacinia Orci Industries vugFAAQ  MOL Standard Software","006i0000001vugFAAQ",1,"","08/25/2013","Closed Lost","","","Software","Nibh Lacinia Orci Industries","",624,"","","","","08/17/2013 00:00","","","","","",-81.408468,"",30.287657
"Nibh Lacinia Orci Industries vuiVAAQ  MOL Standard Software","006i0000001vuiVAAQ",4,"","08/30/2013","Closed Won","","","Software","Nibh Lacinia Orci Industries","",2272,"","","","","08/28/2013 00:00","","","","","",-81.408468,"",30.287657
"Nibh Lacinia Orci Industries vuj0AAA  MOL Standard Software","006i0000001vuj0AAA",33,"","09/06/2013","Closed Won","","","Software","Nibh Lacinia Orci Industries","",24552,"","","","","08/29/2013 00:00","","","","","",-81.408468,"",30.287657
"Nibh Lacinia Orci Industries vulXAAQ  MOL Standard Software","006i0000001vulXAAQ",2,"","09/16/2013","Closed Won","","","Software","Nibh Lacinia Orci Industries","",1504,"","","","","09/12/2013 00:00","","","","","",-81.408468,"",30.287657
