"...1","Opportunity Name","ID","Opportunity Amount","Currency","Expected Close Date","Sales Stage","Probability (%)","Next Step","Type","Account Name","Description","Amount","Lead Source","campaign_id","Assigned to","Assigned User","Date Created","Date Modified","Created By","Modified By","Deleted","Geocode Status","Longitude","Address","Latitude"
NA,"Quisque Tincidunt LLP vsxPAAQ  MOL Standard Software","006i0000001vsxPAAQ",38,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,26752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.292436,NA,40.073744
NA,"OSN Infotech vtFVAAY  MOL Standard Maintenance","006i0000001vtFVAAY",4,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,470.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.531824,NA,42.372756
NA,"Mollis Dui Consulting vtdHAAQ  MOL Standard Software","006i0000001vtdHAAQ",17,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,12104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.027455,NA,38.988707
NA,"Venenatis A Limited vtDWAAY  MOL Standard Software","006i0000001vtDWAAY",13,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,9048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.252431,NA,42.872218
NA,"Venenatis A Limited vtF7AAI  MOL Standard Maintenance","006i0000001vtF7AAI",5,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.252431,NA,42.872218
NA,"Venenatis A Limited vte9AAA  MOL Standard Services","006i0000001vte9AAA",2,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.252431,NA,42.872218
NA,"Sample, inc vtdnAAA  MOL Standard Services","006i0000001vtdnAAA",2,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,1232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.859193,NA,37.979995
NA,"Nisl Arcu Consulting vt9JAAQ  MOL Mobile Services","006i0000001vt9JAAQ",7,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,4158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120.141848,NA,39.170569
NA,"Nisl Arcu Consulting vtENAAY  MOL Mobile Software","006i0000001vtENAAY",8,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,6048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120.141848,NA,39.170569
NA,"Nisl Arcu Consulting vtfAAAQ  MOL Standard Services","006i0000001vtfAAAQ",20,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,10780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120.141848,NA,39.170569
NA,"Tellus LLP vtCEAAY  MOL Standard Software","006i0000001vtCEAAY",37,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,25456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.205574,NA,43.8225
NA,"Fringilla Porttitor Vulputate Company vtF9AAI  MOL Standard Software","006i0000001vtF9AAI",3,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,2064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-122.636424,NA,45.526222
NA,"Fringilla Porttitor Vulputate Company vtgOAAQ  MOL Standard Software","006i0000001vtgOAAQ",23,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,14720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-122.636424,NA,45.526222
NA,"Sagittis Semper Nam Institute vtFcAAI  MOL Standard Software","006i0000001vtFcAAI",11,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,6776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.810172,NA,36.158372
NA,"Sagittis Semper Nam Institute vthTAAQ  MOL Standard Software","006i0000001vthTAAQ",127,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,101600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.810172,NA,36.158372
NA,"Curabitur Ut Consulting vtHlAAI  MOL Standard Services","006i0000001vtHlAAI",1,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.060233,NA,42.364324
NA,"Curabitur Ut Consulting vtHmAAI  MOL Standard Software","006i0000001vtHmAAI",16,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,11392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.060233,NA,42.364324
NA,"Interdum Consulting vtGiAAI  MOL Standard Software","006i0000001vtGiAAI",11,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,6512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.085238,NA,42.772665
NA,"Interdum Consulting vtjLAAQ  MOL Standard Services","006i0000001vtjLAAQ",107,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,55426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.085238,NA,42.772665
NA,"Quis Lectus Associates vtjgAAA  MOL Standard Software","006i0000001vtjgAAA",13,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,8840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.163725,NA,34.189648
NA,"Etiam Corporation vtKbAAI  MOL Premium Software","006i0000001vtKbAAI",22,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,20328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.217162,NA,41.713079
NA,"Tempus Eu Ligula Corporation vtMBAAY  MOL Standard Software","006i0000001vtMBAAY",6,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,4368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.928955,NA,41.286954
NA,"Neque LLP vtllAAA  MOL Standard Maintenance","006i0000001vtllAAA",22,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,2455.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.410794,NA,33.778989
NA,"Sem Incorporated vt99AAA  MOL Standard Maintenance","006i0000001vt99AAA",11,NA,NA,"Closed Lost",NA,NA,"Maintenance",NA,NA,1016.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.089706,NA,39.993596
NA,"Sem Incorporated vtMuAAI  MOL Standard Software","006i0000001vtMuAAI",2,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,1344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.089706,NA,39.993596
NA,"Enim Industries vtMzAAI  MOL Standard Software","006i0000001vtMzAAI",6,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,4320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.688093,NA,42.735884
NA,"Malesuada Limited vtLrAAI  MOL Standard Maintenance","006i0000001vtLrAAI",52,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,6177.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.03819,NA,39.862236
NA,"Malesuada Limited vttDAAQ  MOL Standard Software","006i0000001vttDAAQ",47,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,34592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.03819,NA,39.862236
NA,"Ipsum Cursus Vestibulum Company vtMpAAI  MOL Standard Software","006i0000001vtMpAAI",12,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,7008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.021595,NA,40.759222
NA,"Ipsum Cursus Vestibulum Company vtvjAAA  MOL Standard Software","006i0000001vtvjAAA",2,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.021595,NA,40.759222
NA,"Cras Convallis Convallis LLP vtMqAAI  MOL Standard Software","006i0000001vtMqAAI",9,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,6336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.022847,NA,41.058405
NA,"Cras Convallis Convallis LLP vtvkAAA  MOL Premium Maintenance","006i0000001vtvkAAA",1,NA,NA,"Closed Lost",NA,NA,"Maintenance",NA,NA,142.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.022847,NA,41.058405
NA,"Sagittis Corp. vtMhAAI  MOL Standard Software","006i0000001vtMhAAI",50,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,34400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.74776,NA,42.654103
NA,"Sagittis Corp. vtN0AAI  MOL Standard Software","006i0000001vtN0AAI",16,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,11136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.74776,NA,42.654103
NA,"Sagittis Corp. vtv5AAA  MOL Standard Software","006i0000001vtv5AAA",242,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,180048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.74776,NA,42.654103
NA,"Sagittis Corp. vtvpAAA  MOL Standard Software","006i0000001vtvpAAA",6,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,4416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.74776,NA,42.654103
NA,"Globex Corporation vtHQAAY  MOL Standard Software","006i0000001vtHQAAY",35,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,21000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.09006,NA,42.367815
NA,"Globex Corporation vtQeAAI  MOL Standard Software","006i0000001vtQeAAI",11,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,1016.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.09006,NA,42.367815
NA,"Globex Corporation vtciAAA  MOL Mobile Software","006i0000001vtciAAA",12,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,9180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.09006,NA,42.367815
NA,"Globex Corporation vtyJAAQ  MOL Standard Software","006i0000001vtyJAAQ",1,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.09006,NA,42.367815
NA,"At Egestas LLP vte8AAA  MOL Standard Software","006i0000001vte8AAA",3,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.068663,NA,38.38021
NA,"At Egestas LLP vuSSAAY  MOL Standard Services","006i0000001vuSSAAY",13,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,7553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.068663,NA,38.38021
NA,"Amet Consectetuer Ltd vtfvAAA  MOL Standard Software","006i0000001vtfvAAA",3,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,2160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.46054,NA,38.303184
NA,"Amet Consectetuer Ltd vuSpAAI  MOL Standard Software","006i0000001vuSpAAI",15,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,11160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.46054,NA,38.303184
NA,"Multimodous Ventures vtA3AAI  MOL Standard Software","006i0000001vtA3AAI",1,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-87.817123,NA,41.879132
NA,"Multimodous Ventures vtETAAY  MOL Standard Software","006i0000001vtETAAY",6,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,4560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-87.817123,NA,41.879132
NA,"Multimodous Ventures vtESAAY  MOL Standard Maintenance","006i0000001vtESAAY",3,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,338.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-87.817123,NA,41.879132
NA,"Multimodous Ventures vtfwAAA  MOL Standard Maintenance","006i0000001vtfwAAA",33,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,2890.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-87.817123,NA,41.879132
NA,"Multimodous Ventures vtgvAAA  MOL Standard Software","006i0000001vtgvAAA",4,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,2496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-87.817123,NA,41.879132
NA,"Multimodous Ventures vuUsAAI  MOL Standard Software","006i0000001vuUsAAI",9,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,5400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-87.817123,NA,41.879132
NA,"Pellentesque Tincidunt Tempus Corporation vu5NAAQ  MOL Standard Software","006i0000001vu5NAAQ",17,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,11424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.162792,NA,39.609076
NA,"Pellentesque Tincidunt Tempus Corporation vu5OAAQ  MOL Standard Software","006i0000001vu5OAAQ",8,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,6016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.162792,NA,39.609076
NA,"Duis Inc. vu5RAAQ  MOL Standard Software","006i0000001vu5RAAQ",199,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,114624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.0971,NA,41.284013
NA,"Lacus Corporation vtMJAAY  MOL Standard Software","006i0000001vtMJAAY",76,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,54720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.65817,NA,40.350306
NA,"Lacus Corporation vu5zAAA  MOL Standard Software","006i0000001vu5zAAA",222,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,136752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.65817,NA,40.350306
NA,"Blandit Company vtQOAAY  MOL Mobile Services","006i0000001vtQOAAY",1,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.656419,NA,39.939343
NA,"Blandit Company vu61AAA  MOL Premium Software","006i0000001vu61AAA",13,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,14508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.656419,NA,39.939343
NA,"Facilisis Facilisis Associates vu5fAAA  MOL Standard Software","006i0000001vu5fAAA",21,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,12432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.856121,NA,41.460948
NA,"Nulla Semper Tellus Consulting vthZAAQ  MOL Standard Software","006i0000001vthZAAQ",11,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,8272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.715061,NA,36.517968
NA,"Nulla Semper Tellus Consulting vuVcAAI  MOL Standard Maintenance","006i0000001vuVcAAI",157,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,18463.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.715061,NA,36.517968
NA,"Nonummy Ipsum Non Corporation vthxAAA  MOL Standard Maintenance","006i0000001vthxAAA",26,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,2527.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.25848,NA,35.486078
NA,"Nonummy Ipsum Non Corporation vuW3AAI  MOL Standard Software","006i0000001vuW3AAI",3,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,2208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.25848,NA,35.486078
NA,"Dui In Sodales Incorporated vu5hAAA  MOL Standard Software","006i0000001vu5hAAA",220,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,133760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.17121,NA,39.357356
NA,"Tincidunt Aliquam Foundation vtTJAAY  MOL Standard Maintenance","006i0000001vtTJAAY",29,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,2888.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.946072,NA,40.238345
NA,"Tincidunt Aliquam Foundation vu6NAAQ  MOL Standard Services","006i0000001vu6NAAQ",7,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,4851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.946072,NA,40.238345
NA,"Lectus Pede Et Associates vtFwAAI  MOL Standard Maintenance","006i0000001vtFwAAI",2,NA,NA,"Closed Lost",NA,NA,"Maintenance",NA,NA,206.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.640156,NA,44.901288
NA,"Lectus Pede Et Associates vtgcAAA  MOL Standard Software","006i0000001vtgcAAA",123,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,89544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.640156,NA,44.901288
NA,"Lectus Pede Et Associates vuWTAAY  MOL Standard Software","006i0000001vuWTAAY",1,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.640156,NA,44.901288
NA,"Arcu PC vt8zAAA  MOL Standard Software","006i0000001vt8zAAA",3,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,2184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-116.911031,NA,34.242542
NA,"Arcu PC vtc3AAA  MOL Standard Software","006i0000001vtc3AAA",48,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,28032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-116.911031,NA,34.242542
NA,"Arcu PC vu7xAAA  MOL Standard Software","006i0000001vu7xAAA",9,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,6192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-116.911031,NA,34.242542
NA,"Tristique Senectus Et LLP vtGZAAY  MOL Standard Software","006i0000001vtGZAAY",11,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,963.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.599521,NA,42.584489
NA,"Tristique Senectus Et LLP vteNAAQ  MOL Standard Software","006i0000001vteNAAQ",46,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,25760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.599521,NA,42.584489
NA,"Tristique Senectus Et LLP vtkJAAQ  MOL Standard Maintenance","006i0000001vtkJAAQ",1,NA,NA,"Closed Lost",NA,NA,"Maintenance",NA,NA,111.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.599521,NA,42.584489
NA,"Tristique Senectus Et LLP vu56AAA  MOL Standard Maintenance","006i0000001vu56AAA",77,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,7761.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.599521,NA,42.584489
NA,"Tristique Senectus Et LLP vuXwAAI  MOL Standard Services","006i0000001vuXwAAI",38,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,21014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.599521,NA,42.584489
NA,"Vehicula Limited vtj2AAA  MOL Standard Services","006i0000001vtj2AAA",6,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,3990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.882782,NA,35.053819
NA,"Vehicula Limited vuXlAAI  MOL Standard Services","006i0000001vuXlAAI",5,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,2485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.882782,NA,35.053819
NA,"Adipiscing Corporation vtpVAAQ  MOL Standard Software","006i0000001vtpVAAQ",47,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,35344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.555115,NA,28.365942
NA,"Adipiscing Corporation vuYLAAY  MOL Standard Services","006i0000001vuYLAAY",158,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,87374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.555115,NA,28.365942
NA,"Consectetuer Rhoncus Nullam Foundation vuaMAAQ  MOL Standard Maintenance","006i0000001vuaMAAQ",14,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,1461.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.345654,NA,43.093672
NA,"Turpis Nulla Incorporated vtmDAAQ  MOL Standard Services","006i0000001vtmDAAQ",6,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,3486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.379726,NA,33.90805
NA,"Turpis Nulla Incorporated vucIAAQ  MOL Standard Software","006i0000001vucIAAQ",5,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,3960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.379726,NA,33.90805
NA,"Massa Suspendisse Eleifend LLP vtX2AAI  MOL Standard Services","006i0000001vtX2AAI",95,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,46550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.426756,NA,41.024771
NA,"Massa Suspendisse Eleifend LLP vuDBAAY  MOL Standard Software","006i0000001vuDBAAY",374,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,236368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.426756,NA,41.024771
NA,"Lacus Ut Nec Incorporated vtZoAAI  MOL Standard Software","006i0000001vtZoAAI",11,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,8272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.219338,NA,40.022638
NA,"Lacus Ut Nec Incorporated vtn6AAA  MOL Standard Software","006i0000001vtn6AAA",22,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,15840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.219338,NA,40.022638
NA,"Lacus Ut Nec Incorporated vuHrAAI  MOL Standard Software","006i0000001vuHrAAI",175,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,103600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.219338,NA,40.022638
NA,"Lacus Ut Nec Incorporated vudyAAA  MOL Standard Services","006i0000001vudyAAA",1,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.219338,NA,40.022638
NA,"Erat Etiam Incorporated vtAZAAY  MOL Standard Services","006i0000001vtAZAAY",4,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,2688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-93.192564,NA,44.970161
NA,"Erat Etiam Incorporated vtahAAA  MOL Standard Software","006i0000001vtahAAA",4,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,2432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-93.192564,NA,44.970161
NA,"Erat Etiam Incorporated vuEEAAY  MOL Standard Services","006i0000001vuEEAAY",8,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,5040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-93.192564,NA,44.970161
NA,"Fusce Aliquam Enim Limited vtKHAAY  MOL Standard Software","006i0000001vtKHAAY",9,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,6336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.97756,NA,43.606701
NA,"Fusce Aliquam Enim Limited vtVoAAI  MOL Standard Services","006i0000001vtVoAAI",17,NA,NA,"Closed Won",NA,NA,"Services",NA,NA,8330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.97756,NA,43.606701
NA,"Fusce Aliquam Enim Limited vtnRAAQ  MOL Standard Software","006i0000001vtnRAAQ",2,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,1520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.97756,NA,43.606701
NA,"Fusce Aliquam Enim Limited vuANAAY  MOL Standard Software","006i0000001vuANAAY",311,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,204016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.97756,NA,43.606701
NA,"Fusce Aliquam Enim Limited vuiyAAA  MOL Standard Software","006i0000001vuiyAAA",313,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,177784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.97756,NA,43.606701
NA,"Natoque LLP vtqJAAQ  MOL Standard Software","006i0000001vtqJAAQ",7,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,5600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.165924,NA,26.039977
NA,"Natoque LLP vuk5AAA  MOL Standard Software","006i0000001vuk5AAA",8,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,5952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.165924,NA,26.039977
